"id";"title";"authors";"subjectsPOR";"institutions";"types";"accesslevel";"publicationDates";"urls";"formats";"languages";
"UNICAMP-30_3eab6a0503320dbba22284fde51a1cb4";"Uma arquitetura para agentes inteligentes baseada na sociedade da mente";"primary[Brenner, Mauren Fernanda Meira(NA)]";"Inteligência artificial|Inteligencia artificial distribuida";"UNICAMP";"masterThesis";"openAccess";"1996";"https://hdl.handle.net/20.500.12733/1585158";"masterThesis";"por"
"UNB_e2dcc7d163164df0752c84252a650503";"A proteção da vítima de danos causados por uma inteligência artificial : uma perspectiva civil-constitucional";"primary[Coutinho, Marina de Alencar Araripe(NA)]";"";"UNB";"masterThesis";"openAccess";"2022";"https://repositorio.unb.br/handle/10482/43971";"masterThesis";"por"
"UFMS_88fb1aabdd20b3a60686ebf024354f58";"Rede Neural Difusa com T-normas Diferenciáveis e Interativas";"primary[Oliveira, Fabiano Ricardo de(NA)]";"Inteligência Artificial|Redes Neurais|Fuzzy (Inteligência Artificial)";"UFMS";"masterThesis";"openAccess";"2007";"https://repositorio.ufms.br/handle/123456789/463";"masterThesis";"por"
"UFC-7_1d8c12f78c3a3ef64d41d2bdd4c8b82f";"Lógicas não-monotônicas";"primary[Pequeno, Marcelino Cavalcante(NA)]";"Inteligência Artificial|Artificial Intelligence";"UFC";"masterThesis";"openAccess";"1985";"http://www.repositorio.ufc.br/handle/riufc/31875";"masterThesis";"por"
"UECE-0_abd8841da6bba9021c15205efbfd05f3";"DETECÇÃO DA PRESENÇA DO CAPACETE DE SEGURANÇA DO MOTOCICLISTA EM IMAGENS DE VIAS DO TRÂNSITO";"primary[MAIA, FELIPE JOSÉ AGUIAR(NA)]";"Inteligência artificial";"UECE";"masterThesis";"openAccess";"2015";"https://siduece.uece.br/siduece/trabalhoAcademicoPublico.jsf?id=84196";"masterThesis";"por"
"UECE-0_d83b4fe6c6fb7a60c2b9e29e0648b11c";"DETECTOR DE FLUXOS CONFLITANTES EM REDES OPENFLOW UTILIZANDO TÉCNICAS DE INTELIGÊNCIA ARTIFICIAL";"primary[BATISTA, BRUNO LOPES ALCANTARA(NA)]";"Inteligência artificial";"UECE";"masterThesis";"openAccess";"2014";"https://siduece.uece.br/siduece/trabalhoAcademicoPublico.jsf?id=84309";"masterThesis";"por"
"IEN_9fee16c3fac4086e6428067c27c2cf63";"Modelos de validação de sinal utilizando técnicas de inteligência artificial aplicados a um reator nuclear";"primary[Oliveira, Mauro Vitor(NA)]|secondary[Instituto de Engenharia Nuclear(NA)]";"Inteligência artificial";"IEN";"masterThesis";"openAccess";"1999";"http://carpedien.ien.gov.br:8080/handle/ien/1911";"masterThesis";"por"
"IEN_8ab7e97c23a8e909e5e16ea7d5f26659";"Metodologia para validação de sinal usando modelos empíricos com técnicas de inteligência artificial aplicada a um reator nuclear";"primary[Oliveira, Mauro Vitor(NA)]|secondary[Instituto de Engenharia Nuclear(NA)]";"Inteligência artificial";"IEN";"doctoralThesis";"openAccess";"2005";"http://carpedien.ien.gov.br:8080/handle/ien/1912";"doctoralThesis";"por"
"IEN_0222e2d1c7a96628bd6507dad30399f8";"Método de identificação de transientes com abordagem possibilística, otimizado por algoritmo genético";"primary[Almeida, José Carlos Soares de(NA)]|secondary[Instituto de Engenharia Nuclear(NA)]";"Inteligência artificial";"IEN";"masterThesis";"openAccess";"2001";"http://carpedien.ien.gov.br:8080/handle/ien/1922";"masterThesis";"por"
"FEI_555076637c641a1a57ab50d5e0f65f55";"Reconhecimento de objetos baseado em uma arquitetura neuro-cognitiva";"primary[Lopes, L. A.(NA)]";"Inteligência artificial";"FEI";"masterThesis";"openAccess";"2020";"https://repositorio.fei.edu.br/handle/FEI/3133";"masterThesis";"por"
"FEI_b1d5f6328ccb6c1339415b206fc6997b";"Modelagem de domínios temporais de planejamento com UML.P";"primary[Ferreira, Marcelo(NA)]";"Inteligência artificial";"FEI";"masterThesis";"openAccess";"2009";"https://repositorio.fei.edu.br/handle/FEI/469";"masterThesis";"por"
"FEI_8704289e8a5cc006f98e9ea2c305b799";"Raciocínio espacial qualitativo para um sistema de segurança em tráfego de veículos";"primary[Sécolo, A. C.(NA)]";"Inteligência artificial";"FEI";"masterThesis";"openAccess";"2011";"https://repositorio.fei.edu.br/handle/FEI/410";"masterThesis";"por"
"UNICAMP-30_b321e01ecff52d945aa2782f4d3fce35";"UniGuide : um modelo de representação do conhecimento especial";"primary[Cerqueira Filho, Reginaldo de Castro(NA)]";"Inteligência artificial";"UNICAMP";"masterThesis";"openAccess";"1999";"https://hdl.handle.net/20.500.12733/1607943";"masterThesis";"por"
"UFMG_386ecb07e0157546e1925925786b8996";"Avaliação do uso da Linguagem PDDL no planejamento de missões para robôs aéreos";"primary[Luiz Fernando Abras Cantoni(NA)]";"VAANTs|Inteligência artificial|PDDL|Planejamento automático";"UFMG";"masterThesis";"openAccess";"2010";"http://hdl.handle.net/1843/SLSS-895KCG";"masterThesis";"por"
